description,class,type,legitibility,faction
"The card named Rift Reap is a 1 cost holy spell . The card text says: Refresh all minions in your hand. If they were minions, send them to their 'Muslims'",Priest,Spell,0,0
The card named Dreadspell is a 3 cost spell . The card text says: Give a minion plus 2 dash plus 2.,Priest,Spell,3,0
The card named Assault on Immortals is a 2 cost holy spell . The card text says: Give a minion plus 1 dash plus 2. Summon a few similar 4 dash 4 Scorpions.,Priest,Spell,2,0
The card named Shadow Frozen is a 6-cost shadow spell . The card text says: Destroy a minion. Give it plus 3 dash plus 5.,Priest,Spell,1,1
"The card named Priest of the Night is a 2 cost spell , and includes the effects choose one. The card text says: Pick One plus Create a 1 dash 1 Holy Ghost. (Deal: Destroy a random enemy minion.)",Priest,Spell,0,0
The card named Riff of Terror is a 2 cost frost spell . The card text says: Draw 3 cards.,Priest,Spell,,
"The card named Priest of Argyll is a 2 cost holy spell , and includes the effects deal damage. The card text says: Deal 2 damage to two random enemies. Summon all 2 Armor with Rush.",Priest,Spell,,
The card named Invisible Shield is a 1 cost shadow spell . The card text says: Give a minion plus 2 dash plus 2. Summon a copy of this for each Mana Crystal you've cast this turn.,Priest,Spell,,
The card named Deathbed is a 2 cost shadow spell . The card text says: Give a minion plus 3 dash plus 3.,Priest,Spell,,
"The card named Disturb is a 2 cost spell . The card text says: Summon all minions in your deck. If your deck has very long, give them plus 1 dash plus 1.",Priest,Spell,,
"The card named Revelation is a 5 cost spell , and includes the effects discover. The card text says: Discover two 3 dash 4 Dragons.",Priest,Spell,,
"The card named Shadow of the Beast is a 1 cost shadow spell , and includes the effects deal damage. The card text says: Deal 1 damage. If you played a Legendary minion this turn, deal 1 damage.",Priest,Spell,,
"The card named Divine Shield is a 2 cost holy spell , and includes the effects deal damage. The card text says: Deal 2 damage to a minion. Summon 2 2 dash 1 copies of it.",Priest,Spell,,
"The card named Shadow Invasion is a 5 cost shadow spell , and includes the effects deal damage. The card text says: Deal 6 damage to a minion. Shuffle two random minion into your deck. You can also switch them to Deal 2 damage respectively.",Priest,Spell,,
The card named Freeze the Temple is a 3 cost shadow spell . The card text says: Reward: Spend 10 turns to revive a minion. Give it plus 2 dash plus 3.,Priest,Spell,,
"The card named Forbidden Flame is a 1 cost shadow spell , and includes the effects deal damage, discover. The card text says: Deal 1 damage. Destroy an enemy minion.",Priest,Spell,,
The card named Shadow of Stall is a 1 cost shadow spell . The card text says: Destroy a minion. Draw a card.,Priest,Spell,,
"The card named Unbreakable Power is a 4 cost shadow spell , and includes the effects deal damage. The card text says: Deal 8 damage to a minion.",Priest,Spell,,
"The card named Imprison Your Shadow is a 3 cost shadow spell . The card text says: Choose one minion and give it plus 4 dash plus 4. If it dies, add a copy to your hand.",Priest,Spell,,
"The card named Shred is a 1 cost spell , and includes the effects priceless. The card text says: Costs (1) less for each minion you've cast this game this turn. Costs (1) less for each card you've played this turn.",Priest,Spell,,
"The card named Unstable Fire is a 2 cost shadow spell , and includes the effects deal damage. The card text says: Deal 5 damage to an enemy minion. Then deal 1 damage to all other enemies.",Priest,Spell,,
"The card named Divine Shield is a 0 cost holy spell , and includes the effects deal damage. The card text says: Deal 2 damage to all enemy minions. Summon a copy of it.",Priest,Spell,,
The card named Abyssal Power is a 2 cost shadow spell . The card text says: Draw a card. Overload: (1),Priest,Spell,,
The card named Bloodsplatter is a 5 cost shadow spell . The card text says: Draw a minion. Give her plus 1 dash plus 1.,Priest,Spell,,
"The card named Fire of Resilience is a 3 cost shadow spell , and includes the effects secret. The card text says: Secret: Once you cast a spell, gain 10 Armor as 'Was this useful?'",Priest,Spell,,
The card named Conceal is a 5 cost shadow spell . The card text says: Give your minions plus 3 Attack the same turn they played this game.,Priest,Spell,,
"The card named Ranks Matter or Goddard is a 2 cost nature spell , and includes the effects deal damage. The card text says: Deal 2 damage. Give your minions plus 2 dash plus 2.",Priest,Spell,,
The card named Devout Depute is a 6 cost shadow spell . The card text says: Add three 10 dash 10 Magi to your hand.,Priest,Spell,,
"The card named The Witch is a 2 cost spell , and includes the effects deal damage, curse. The card text says: Deal 5 damage to a minion.",Priest,Spell,,
"The card named Reign of Blood is a 2 cost holy spell , and includes the effects discover. The card text says: Discover a card from your deck. See it later.",Priest,Spell,,
The card named Priest of the Storm is a 3 cost shadow spell . The card text says: Give a minion plus 2 Attack. Summon one that costs (3) or less instead.,Priest,Spell,,
The card named Divine Shield is a 1 cost holy spell . The card text says: Send your other minions into your deck.,Priest,Spell,,
"The card named Regeneration is a 50 cost shadow spell . The card text says: Create a Priest. When your opponent plays a friendly minion, draw a card.",Priest,Spell,,
The card named Faithfull Swarm is a 1 cost shadow spell . The card text says: Give a minion plus 2 dash plus 1.,Priest,Spell,,
"The card named Illusion of Stuff is a 4 cost holy spell . The card text says: Give all minions in your hand plus 3 dash plus 5. Once this attacks, gain plus 2.",Priest,Spell,,
"The card named Swarm of Light is a 6 cost holy spell . The card text says: Give a minion plus 3 dash plus 5, and add two card slots to your hand.",Priest,Spell,,
"The card named Darkline Strike is a 5 cost shadow spell , and includes the effects deal damage. The card text says: Deal 5 damage to a minion. If yours costs more, deal 4 more.",Priest,Spell,,
The card named Shadow of the Night is a 4 cost shadow spell . The card text says: Give your fist Rush 10 damage and another 1 dash 3. Draw a card.,Priest,Spell,,
