description,faction_code,type,legitibility,faction,henry,sam,eli,viktor,Abraham,"Scoring format
legibility/faction/comedy"
"The card named Squida is a 3 advancement agenda worth 4 points with the subtypes expansion. It has an influence requirement of 0. It has a trash cost of 4. The card text says Subroutine When you score Squida, you may uninstall 1 key",neutral-corp,agenda,0,0,0/0/0,0/0/0,,,,
"The card named ""The Legacy of the Nation"" is a 2 advancement agenda worth 2 points with the subtypes infrastructure. It has an influence requirement of 0. The card text says When you score this agenda, you may install 2 cards from headquarters to the root of headquarters.",neutral-corp,agenda,2,0,2/0/0,,,,,
"The card named The Edge of the Community II is a 3 advancement agenda worth 2 points with the subtypes mission. It has an influence requirement of 0. The card text says You cannot score Mission Control during your turn. When you do this, click: Remove all traces of your deck.",neutral-corp,agenda,1,1,1/1/1,,,,,
"The card named Grain is a 5 advancement agenda worth 1 points with the subtypes research. It has an influence requirement of 0. The card text says When you score this agenda, place 1 agenda counter on it. If they do, draw 2 cards.",neutral-corp,agenda,2,1,2/1/0,,,,,
"The card named Interpolation is a 3 advancement agenda worth 2 points with the subtypes research. It has an influence requirement of 0. The card text says Whenever you run a campaign, you may gain 3 credits. Subroutine Add 1 credit to research on Interpolation on Interpolation.",neutral-corp,agenda,1,1,,,,,,
"The card named Instructerism is a 3 advancement agenda worth 2 points with the subtypes security. It has an influence requirement of 0. The card text says When you score this agenda, place 1 agenda counter on it. This agenda counter has a trash cost of 0.",neutral-corp,agenda,2,1,,,,2/1/0,,
"The card named The Future of Government is a 3 advancement agenda worth 2 points with the subtypes research. It has an influence requirement of 0. The card text says Select a card from your grip that is in threat of being stolen from a server. Subroutine The next time your turn begins, pay 1 credit for each added card you have left. Subroutine The second time each turn you take 1 garbage.",neutral-corp,agenda,0,0,,,,0/0/1,,
"The card named Concurrence: The Next Level is a 3 advancement agenda worth 2 points with the subtypes security. It has an influence requirement of 0. The card text says The first time each turn you spend more money spending on research, you may pay 1 tag. Subroutine When you end research, place 1 agenda counter on it. Subroutine You",neutral-corp,agenda,0,0,,,,0/0/0,,
The card named Optical Exchange is a 3 advancement agenda worth 1 points with the subtypes security. It has an influence requirement of 0. The card text says Click: Draw 2 cards.,neutral-corp,agenda,3,1,,,,3/1/0,,
"The card named PwC is a 1 advancement agenda worth 5 points with the subtypes advancement. It has an influence requirement of 0. The card text says When the Corp does a good job, gain 1 credit.",neutral-corp,agenda,1,0,,,,1/0/1,,
"The card named Re-Stop is a 3 advancement agenda worth 2 points with the subtypes research. It has an influence requirement of 0. The card text says When you score this agenda, you may take 1 credit from your stack.",neutral-corp,agenda,2,0,,,,2/0/0,,
"The card named Virology: Global Impact is a 5 advancement agenda worth 1 points with the subtypes policy. It has an influence requirement of 0. It has a trash cost of 0. The card text says When you score this agenda, instead of taking 3 credits, put 2 credits on it. You can score an agenda during this run.",neutral-corp,agenda,1,0,,,,1/0/0,,
"The card named The New Normal is a 4 advancement agenda worth 1 points with the subtypes research. It has an influence requirement of 0. The card text says This agenda gets plus 1 strength if you scored this agenda last year, unless the Corp was raided. The Corp must score an agenda per card. Subroutine The Corp must score an agenda every now and then",neutral-corp,agenda,,,,,,,,
"The card named Relativist is a 4 advancement agenda worth 2 points with the subtypes advancement. It has an influence requirement of 0. The card text says When you score this agenda, place 1 agenda counter on it.",neutral-corp,agenda,,,,,,,,
"The card named Prism is a 1 advancement agenda worth 1 points with the subtypes . It has an influence requirement of 0. It has a trash cost of 2. The card text says When you score this agenda, instead of removing it, click: Whenever you make a successful run on campus, place 1 trash card on each board.",neutral-corp,agenda,,,,,,,,
"The card named Streaming is a 6 cost asset with the subtypes transaction. It has an influence requirement of 0. It has a trash cost of 2. The card text says When your turn begins, delete all inbound links and accesses this asset at random. If the",neutral-corp,asset,1,0,,,,,,
"The card named Assassins Legacy is a 2 cost asset with the subtypes cybernetic. It has an influence requirement of 0. The card text says When you score this asset, draw 2 cards.",neutral-corp,asset,1,0,,,,,,
"The card named Pedal, is a 0 cost asset with the subtypes . It has an influence requirement of 0. It has a trash cost of 1. The card text says When your turn begins, trash Pedal, and trash 1 card from headquarters where the Runner has 1 tag",neutral-corp,asset,1,0,,,,,,
"The card named Delia was a 3 cost asset with the subtypes . It has an influence requirement of 0. It has a trash cost of 1. The card text says When you rez this asset, draw 3 cards. Subroutine A subroutine can rez an agenda, ignoring",neutral-corp,asset,2,0,,,,,,
"The card named The Reign is a 2 cost asset with the subtypes security. It has an influence requirement of 0. The card text says When the Corp makes a successful run on headquarters, it has 15 credits and a trash cost of 0. The Runner trashes this asset and draws 2 cards.",neutral-corp,asset,1,0,,,,,,
"The card named ""Boyz"" is a 3 cost asset with the subtypes character. It has an influence requirement of 0. It has a trash cost of 3. The card text says Subroutine Take 1 tag. For each tag you use, you may replace 1 tag. When this asset is rezzed, you may pay 1 tag",neutral-corp,asset,,,,,,,,
"The card named The Apocalypse is a 1 cost asset with the subtypes . It has an influence requirement of 0. It has a trash cost of 3. The card text says click, click: Place the Runner on The Apocalypse. You may place",neutral-corp,asset,,,,,,,,
"The card named M4-C is a 2 cost asset with the subtypes connection. It has an influence requirement of 0. The card text says Trash M4-C and trash: Place 1 credit on Mana Micro. If there is no match, trash M4. Trash M4-C and trash the top card of this stack during the next turn. Subroutine The",neutral-corp,asset,,,,,,,,
"The card named Ethel X is a 4 cost asset with the subtypes . It has an influence requirement of 0. The card text says When the Runner encounters this asset, they rez it. If successful, the",neutral-corp,asset,,,,,,,,
"The card named Rogue Lab is a 6 cost asset with the subtypes . It has an influence requirement of 0. The card text says As an additional cost to play this asset, waste only if the Runner tame their Runner",neutral-corp,asset,,,,,,,,
"The card named Squirrel is a 3 cost asset with the subtypes connection. It has an influence requirement of 0. It has a trash cost of 4. The card text says When you score Squirrel, you may pay 2 credits. If you do, pay 1 credit.",neutral-corp,asset,,,,,,,,
"The card named Fight the Threat is a 0 cost asset with the subtypes . It has an influence requirement of 0. The card text says click, click: Make a run on headquarters. Trash 2 cards from headquarters. Trash 1 card from headquarters.",neutral-corp,asset,,,,,,,,
"The card named Defeat Flow is a 5 cost asset with the subtypes . It has an influence requirement of 0. It has a trash cost of 3. The card text says When you install Defeat Flow, place 1 power counter on Defeat Flow. If there are at least 3 power counters",neutral-corp,asset,,,,,,,,
The card named Leak is a 2 cost asset with the subtypes transaction. It has an influence requirement of 2. The card text says Take 1 credit plus 1 credit + 2 credit if the Runner cannot access the card to gain 1 credit.,neutral-corp,asset,0,0,,0/1/0,,,,
The card named Axis Inquirant is a 3 cost asset with the subtypes . It has an influence requirement of 0. The card text says Install only if your play area is occupied by an administrator. If,neutral-corp,asset,0,0,,0/0/1,,,,
"The card named Virgil is a 7 cost asset with the subtypes run. It has an influence requirement of 0. It has a trash cost of 3. The card text says Run a deflector. Once each turn, the Corp gets 1 tag.",neutral-corp,asset,0,0,,0/0/0,,,,
The card named Deo is a 4 cost asset with the subtypes . It has an influence requirement of 2. Its text says Gain 7 credits. Gain 1 tag. Gain 1 key excluding delegate cap.,neutral-corp,asset,,,,,,,,
"The card named T-Mobile is a 0 cost asset with the subtypes icebreaker. It has an influence requirement of 0. It has a trash cost of 0. The card text says When the Corp trashes T-Mobile, if the Corp trashes T-Mobile, T-Mobile will be",neutral-corp,asset,0,0,,,,0/0/0,,
"The card named Ariel is a 45 cost asset with the subtypes asset. It has an influence requirement of 0. It has a trash cost of 0. The card text says When your turn begins, when you install the card or run a game, you may take 1 credit for each item within the Runner’s grip",neutral-corp,asset,,,,,,,,
"The card named XO Flow is a 0 cost asset with the subtypes . It has an influence requirement of 0. It has a trash cost of 0. The card text says Whenever your turn begins, you may rez XO Flow. The Corp trashes the top card of",neutral-corp,asset,1,0,1/0/1,,,,,
"The card named The Green Wall is a 2 cost asset with the subtypes . It has an influence requirement of 0. The card text says When you install this asset, place 2 credits on it . Subroutine Whenever the Runner installs any of the following cards, if they are more than 1 credit in size, take 1 credit.",neutral-corp,asset,1,0,1/0/0,,,,,
"The card named Archie: Rondo is a 2 cost asset with the subtypes business. It has an influence requirement of 0. The card text says When your turn begins, take 1 tag and trash it. Afterward, if the Runner takes an agenda, your leader loses 3 credits.",neutral-corp,asset,0,0,0/0/1,,,,,
